"populace","oblast","puvod","zemepisna_sirka","zemepisna_delka","tloustka_listu_mm","teplota_rocni_C","teplota_sezonnost","teplota_max_C","teplota_min_C","srazky_rocni_mm","srazky_nejvlhci_mesic_mm","srazky_nejsussi_mesic_mm","srazky_sezonnost"
"US31","US","Zavleceny",41.011275,-74.351194,0.3884,11.05,878.4,28.2500000000001,-6.04999999999995,1368.6,127,85.3,10.8
"US33","US","Zavleceny",41.414571,-73.957755,0.476,11.2500000000001,901.3,28.65,-6.34999999999997,1245.1,118.3,80.6,11.1
"US34","US","Zavleceny",41.765388,-73.864708,0.4516,10.45,889,27.95,-7.14999999999998,1201.1,114.1,81,9.6
"US38","US","Zavleceny",42.638961,-72.912605,0.5192,8.45000000000005,963.3,26.35,-10.7499999999999,1227.5,112.9,82.9,8.3
"US39","US","Zavleceny",42.915838,-72.769982,0.4482,6.85000000000002,921.9,24.35,-11.7499999999999,1658.2,149.4,113.8,7
"US4","US","Zavleceny",35.104308,-83.096358,0.4746,10.95,664.2,25.05,-2.74999999999994,1932.7,189.1,128,10.5
"US40","US","Zavleceny",43.201889,-72.450842,0.443,8.25000000000006,972.9,26.7500000000001,-11.35,1060,101.3,72.1,9.1
"US42","US","Zavleceny",43.841038,-72.189012,0.3484,7.35000000000002,999.8,26.05,-12.95,961.3,98.7,63.1,14.5
"US43","US","Zavleceny",43.9371556,-71.6835903,0.4684,6.65000000000003,1011.8,25.05,-13.85,1257.8,122.7,80.9,12.5
"US44","US","Zavleceny",44.116703,-71.181839,0.4858,6.05000000000001,1027.4,25.05,-14.65,1311,132.7,82,12.8
"US45","US","Zavleceny",44.113167,-70.687127,0.3704,7.45000000000005,985.9,26.15,-12.7499999999999,1252.3,127.2,80.3,12.1
"US46","US","Zavleceny",44.212188,-70.30963,0.419,7.05000000000001,963.3,25.35,-12.45,1356.1,140.3,84.2,14.1
"US47","US","Zavleceny",44.527762,-69.886771,0.3984,7.15000000000003,970.3,25.2500000000001,-12.2499999999999,1204.8,124.4,71.3,14.3
"US49","US","Zavleceny",44.936021,-68.991484,0.42,6.75000000000006,966.9,25.2500000000001,-13.05,1212.2,126.5,79,13.8
"US50","US","Zavleceny",44.946028,-68.643324,0.4592,7.05000000000001,966.8,25.65,-12.7499999999999,1108.5,116.3,73.1,13.1
"US6","US","Zavleceny",35.7398245,-82.6796722,0.4322,13.15,734,28.05,-1.94999999999999,1025.3,102.1,55,13.9
"US8","US","Zavleceny",36.213303,-81.776646,0.4178,11.55,729.9,25.95,-3.44999999999999,1188.5,125.2,67.4,14.6
"US9","US","Zavleceny",36.378242,-81.37687,0.4742,10.85,716.6,25.55,-3.64999999999998,1317,130.4,89.2,10.9
